seed,field_reps,train_noise,include_allc,eval_noise,evaluation_set,opponent,match_seed,score_per_turn,opponent_score_per_turn,cooperation,opponent_cooperation,mutual_cooperation
0,1,0.0,False,0.0,common_field,Grudger,2000000000011,0.6125,2.8625,0.475,0.025,0.0125
0,1,0.0,False,0.0,common_field,Grudger,2000000000012,0.6125,2.9875,0.5125,0.0375,0.025
0,1,0.0,False,0.0,common_field,Grudger,2000000000013,0.5625,3.0625,0.525,0.025,0.0125
0,1,0.0,False,0.0,common_field,Grudger,2000000000014,0.6125,2.8625,0.475,0.025,0.0125
0,1,0.0,False,0.0,common_field,Grudger,2000000000015,0.6,2.9125,0.4875,0.025,0.0125
0,1,0.0,False,0.0,common_field,Grudger,2000000000016,0.55,3.1125,0.5375,0.025,0.0125
0,1,0.0,False,0.0,common_field,Grudger,2000000000017,0.6375,2.7625,0.45,0.025,0.0125
0,1,0.0,False,0.0,common_field,Grudger,2000000000018,0.5625,2.9375,0.4875,0.0125,0.0
0,1,0.0,False,0.0,common_field,Grudger,2000000000019,0.625,2.8125,0.4625,0.025,0.0125
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000000,2.0375,2.1,0.3875,0.375,0.075
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000001,1.875,2.0625,0.35,0.3125,0.025
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000002,1.9625,2.0875,0.3625,0.3375,0.025
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000003,2.0625,2.125,0.4,0.3875,0.0875
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000004,1.95,2.2625,0.425,0.3625,0.075
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000005,2.075,2.075,0.375,0.375,0.05
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000006,2.025,2.0875,0.375,0.3625,0.05
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000007,2.2375,2.2375,0.4375,0.4375,0.075
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000008,2.075,2.2,0.4125,0.3875,0.0625
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000009,1.875,2.1875,0.3875,0.325,0.0375
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000010,2.175,2.175,0.4125,0.4125,0.0625
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000011,2.175,2.175,0.4125,0.4125,0.0625
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000012,2.2125,2.275,0.45,0.4375,0.0875
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000013,2.1625,2.225,0.4375,0.425,0.1
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000014,2.0875,2.2125,0.4375,0.4125,0.125
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000015,2.0875,2.2125,0.4125,0.3875,0.05
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000016,2.0875,2.275,0.45,0.4125,0.1125
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000017,2.025,2.0875,0.375,0.3625,0.05
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000018,2.1,2.1625,0.4,0.3875,0.05
0,1,0.0,False,0.0,common_field,Joss (0.9),2000000000019,2.05,2.05,0.375,0.375,0.075
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000000,2.3125,2.0,0.425,0.4875,0.2125
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000001,2.175,1.8625,0.35,0.4125,0.125
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000002,2.3125,1.8125,0.3625,0.4625,0.175
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000003,1.9625,2.15,0.4375,0.4,0.2
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000004,2.25,2.0,0.4125,0.4625,0.1875
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000005,2.1125,1.8625,0.35,0.4,0.1375
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000006,2.725,1.725,0.375,0.575,0.2
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000007,2.4625,1.9,0.4125,0.525,0.225
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000008,2.1125,2.175,0.45,0.4375,0.1875
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000009,2.45,1.7625,0.3625,0.5,0.1875
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000010,2.3875,1.95,0.4375,0.525,0.275
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000011,2.6875,1.8125,0.425,0.6,0.2875
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000012,2.5125,2.075,0.475,0.5625,0.2625
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000013,2.45,2.075,0.45,0.525,0.2
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000014,2.525,1.9625,0.425,0.5375,0.2
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000015,2.4,1.9625,0.4375,0.525,0.2625
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000016,2.0625,2.125,0.45,0.4375,0.2375
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000017,2.775,1.7125,0.375,0.5875,0.2
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000018,2.1125,2.175,0.45,0.4375,0.1875
0,1,0.0,False,0.0,common_field,Random (0.5),2000000000019,2.5125,1.95,0.4125,0.525,0.175
0,1,0.0,False,0.0,common_field,Tester,2000000000000,2.1125,2.05,0.3875,0.4,0.1
0,1,0.0,False,0.0,common_field,Tester,2000000000001,0.625,2.6875,0.425,0.0125,0.0
