seed,train_noise,include_allc,delta_heldout_payoff,delta_common_payoff,delta_pCD,delta_pCC,delta_self_cooperation
0,0.0,False,0.37625,0.37625,0.3093984301352134,0.8229798715175292,0.540625
0,0.0,True,0.011249999999999982,0.012678571428571317,0.09284928718617017,-0.07042519108997865,-0.013749999999999984
0,0.05,False,0.04517857142857151,0.04517857142857151,-0.15907411989497272,-0.11243853960864839,-0.20437499999999997
0,0.05,True,0.12359374999999995,0.13160714285714303,-0.35945512900253707,-0.2506692227136024,-0.07187499999999997
1,0.0,False,-0.3188392857142859,-0.3188392857142859,-0.18613399356993526,-0.893823759867806,-0.45062500000000005
1,0.0,True,-0.008750000000000036,-0.010357142857142954,0.15965203016218946,-0.030218251635853607,-0.13062499999999994
1,0.05,False,0.17026785714285708,0.17026785714285708,-0.1514340403373586,-0.2637738678178133,-0.11812499999999998
1,0.05,True,0.0008593750000001066,-0.0017857142857142794,0.02505828249800434,-0.026944910033330716,-0.08687499999999998
2,0.0,False,-0.11642857142857133,-0.11642857142857133,-0.24541104030081706,-0.9370749439901179,-0.4587500000000001
2,0.0,True,0.09999999999999964,-0.15607142857142864,-0.3429160955095798,-0.936013954548531,-0.410625
2,0.05,False,0.09116071428571448,0.09116071428571448,0.09018890996429978,-0.951657976764821,-0.33749999999999997
2,0.05,True,0.021484374999999556,0.025803571428571592,0.017177543951166274,-0.25493771106963475,0.13937500000000003
3,0.0,False,0.034553571428571406,0.034553571428571406,0.08768344535783318,0.001319468936681778,0.05437500000000006
3,0.0,True,-0.030546875000000195,0.05348214285714281,-0.47159753178882696,0.0,0.483125
3,0.05,False,0.07991071428571428,0.07991071428571428,0.3182274093335574,0.3466003814593699,0.22812500000000008
3,0.05,True,-0.017421875000000142,-0.019464285714285712,-0.10132608220355785,0.12651476009596485,-0.0006249999999999867
4,0.0,False,0.046250000000000124,0.046250000000000124,0.09580315771125261,0.0,-0.020000000000000018
4,0.0,True,0.037109375,-0.04491071428571436,0.13621390350535162,-0.007351225278227513,-0.14875000000000005
4,0.05,False,0.008839285714285605,0.008839285714285605,-0.2848327180972629,-0.8660869503395432,-0.16937499999999994
4,0.05,True,0.01796875000000009,0.011071428571428621,0.06594767425780818,-0.08496625219591886,-0.0018750000000000155
