seed,field_reps,train_noise,include_allc,p0,pCC,pCD,pDC,pDD,heldout_payoff,common_payoff,self_cooperation,training_payoff,training_matches,training_seconds
0,1,0.0,False,0.8323527415284336,0.1770201284824708,0.15418676879589985,0.42146730119564896,0.749354488839106,1.7463392857142856,1.7463392857142856,0.443125,1.8464285714285715,4900,0.962726506011677
0,1,0.0,True,0.5671635879467092,0.07042519108997865,0.21009828280729173,0.0,0.9309791064917217,2.18984375,1.7910714285714286,0.476875,2.2421875,5600,0.8595871840079781
0,1,0.05,False,0.9750123148041085,0.11243853960864839,0.15907411989497272,0.2409707981294248,1.0,1.7678571428571428,1.7678571428571428,0.49874999999999997,1.975,4900,0.821162202002597
0,1,0.05,True,0.574824355633378,0.2506692227136024,0.4205930168462344,0.0,0.9457344792032053,2.061015625,1.6991964285714285,0.485625,2.2890625,5600,0.979768511999282
0,5,0.0,False,0.809851682238613,1.0,0.4635851989311133,0.24007563848576574,0.30554903885375345,2.1225892857142856,2.1225892857142856,0.98375,2.1810714285714288,24500,3.560639336996246
0,5,0.0,True,0.5215928031406183,0.0,0.3029475699934619,0.0,0.9001483985506309,2.20109375,1.80375,0.463125,2.21625,28000,3.9540630300034536
0,5,0.05,False,0.6947327537604999,0.0,0.0,0.0,0.5069399824917646,1.8130357142857143,1.8130357142857143,0.294375,1.8742857142857143,24500,3.7826078770012828
0,5,0.05,True,0.6372736746246144,0.0,0.06113788784369735,0.0,0.7958296346546503,2.184609375,1.8308035714285715,0.41375,2.2465625,28000,4.287768694994156
1,1,0.0,False,0.7897056014000914,1.0,0.25324277869742134,0.797853330223246,0.130082779425299,2.083482142857143,2.083482142857143,0.951875,2.194642857142857,4900,0.7996155110013206
1,1,0.0,True,0.8880164429275944,0.08586101097020125,0.0,0.001143828503542367,1.0,2.176953125,1.7766964285714286,0.501875,2.2546875,5600,1.616843517011148
1,1,0.05,False,0.0,0.3222058336656909,0.1644881020120657,0.9650774052948935,0.8011642492603304,1.6303571428571428,1.6303571428571428,0.5325,1.9303571428571427,4900,1.0788321040017763
1,1,0.05,True,0.9096640113371013,0.056440809067244316,0.03284293838707708,0.0,0.8421332961436547,2.18359375,1.8335714285714286,0.425,2.265625,5600,1.2109610440093093
1,5,0.0,False,0.826222323282675,0.10617624013219401,0.0671087851274861,0.5266315375311127,0.981222373713239,1.7646428571428572,1.7646428571428572,0.50125,1.8210714285714285,24500,4.578324617992621
1,5,0.0,True,0.8239372157235508,0.05564275933434765,0.15965203016218946,0.0,0.6769916949336023,2.168203125,1.7663392857142857,0.37125,2.210625,28000,5.006036448001396
1,5,0.05,False,0.8650990816485709,0.058431965847877576,0.013054061674707107,0.4621087816049991,0.7678479542765813,1.800625,1.800625,0.414375,1.8717857142857142,24500,4.0380162020010175
1,5,0.05,True,0.9721758733347425,0.0294958990339136,0.05790122088508142,0.0,0.5495037935734233,2.184453125,1.8317857142857144,0.338125,2.2384375,28000,4.522463375993539
2,1,0.0,False,0.6532184754814243,0.9845980615066104,0.49633883845944726,0.7785970030944012,0.3941801773694704,1.9036607142857143,1.9036607142857143,0.9606250000000001,2.4428571428571426,4900,0.7412683629954699
2,1,0.0,True,0.602413516435246,0.9845980615066104,0.5257874915487569,0.30950851817341796,0.43848159396947,2.106796875,1.9661607142857143,0.915,2.471875,5600,0.8753462829918135
