seed,regime,i,j,opponent,match_seed,score_per_turn,opponent_score_per_turn,cooperation,opponent_cooperation,mutual_cooperation,mean_cooperation,mean_payoff
3,fixed,0,3,"Memory-1(0.3897524002138229, 0.9453605686404917, 0.504280172127921, 0.3639630092177118, 0.27628340169787036)",3000300000610,2.1875,2.75,0.725,0.6125,0.5375,0.66875,2.46875
3,fixed,0,3,"Memory-1(0.3897524002138229, 0.9453605686404917, 0.504280172127921, 0.3639630092177118, 0.27628340169787036)",3000300000612,1.55,2.6125,0.525,0.3125,0.175,0.41875,2.08125
3,fixed,0,3,"Memory-1(0.3897524002138229, 0.9453605686404917, 0.504280172127921, 0.3639630092177118, 0.27628340169787036)",3000300000614,2.35,2.1,0.5,0.55,0.35,0.525,2.225
3,fixed,0,3,"Memory-1(0.3897524002138229, 0.9453605686404917, 0.504280172127921, 0.3639630092177118, 0.27628340169787036)",3000300000616,2.5125,2.1375,0.5375,0.6125,0.4,0.575,2.325
3,fixed,0,3,"Memory-1(0.3897524002138229, 0.9453605686404917, 0.504280172127921, 0.3639630092177118, 0.27628340169787036)",3000300000618,2.7,2.3875,0.6625,0.725,0.5375,0.69375,2.54375
3,fixed,0,3,"Memory-1(0.3897524002138229, 0.9453605686404917, 0.504280172127921, 0.3639630092177118, 0.27628340169787036)",3000300000620,2.6,2.4125,0.6625,0.7,0.5375,0.6812499999999999,2.50625
3,fixed,0,3,"Memory-1(0.3897524002138229, 0.9453605686404917, 0.504280172127921, 0.3639630092177118, 0.27628340169787036)",3000300000622,2.425,2.55,0.7,0.675,0.575,0.6875,2.4875
3,fixed,0,3,"Memory-1(0.3897524002138229, 0.9453605686404917, 0.504280172127921, 0.3639630092177118, 0.27628340169787036)",3000300000624,2.35,2.4125,0.6125,0.6,0.4375,0.60625,2.38125
3,fixed,0,3,"Memory-1(0.3897524002138229, 0.9453605686404917, 0.504280172127921, 0.3639630092177118, 0.27628340169787036)",3000300000626,2.5125,2.3875,0.6625,0.6875,0.575,0.675,2.45
3,fixed,0,3,"Memory-1(0.3897524002138229, 0.9453605686404917, 0.504280172127921, 0.3639630092177118, 0.27628340169787036)",3000300000628,2.425,2.2375,0.5375,0.575,0.3375,0.5562499999999999,2.33125
3,fixed,0,3,"Memory-1(0.3897524002138229, 0.9453605686404917, 0.504280172127921, 0.3639630092177118, 0.27628340169787036)",3000300000630,2.725,2.6,0.7875,0.8125,0.7375,0.8,2.6625
3,fixed,0,3,"Memory-1(0.3897524002138229, 0.9453605686404917, 0.504280172127921, 0.3639630092177118, 0.27628340169787036)",3000300000632,2.375,2.25,0.5375,0.5625,0.3375,0.55,2.3125
3,fixed,0,3,"Memory-1(0.3897524002138229, 0.9453605686404917, 0.504280172127921, 0.3639630092177118, 0.27628340169787036)",3000300000634,2.4375,2.0625,0.475,0.55,0.2875,0.5125,2.25
3,fixed,0,3,"Memory-1(0.3897524002138229, 0.9453605686404917, 0.504280172127921, 0.3639630092177118, 0.27628340169787036)",3000300000636,2.825,2.1375,0.5875,0.725,0.4875,0.65625,2.48125
3,fixed,0,3,"Memory-1(0.3897524002138229, 0.9453605686404917, 0.504280172127921, 0.3639630092177118, 0.27628340169787036)",3000300000638,2.3875,2.575,0.6875,0.65,0.525,0.66875,2.48125
