seed,regime,evaluation_set,opponent,match_seed,score_per_turn,opponent_score_per_turn,cooperation,opponent_cooperation,mutual_cooperation
0,fixed,common_field,Joss (0.9),3000010000618,1.6875,1.8125,0.275,0.25,0.0375
0,fixed,common_field,Joss (0.9),3000010000620,1.8375,1.65,0.2375,0.275,0.025
0,fixed,common_field,Joss (0.9),3000010000622,1.6875,1.75,0.25,0.2375,0.0125
0,fixed,common_field,Joss (0.9),3000010000624,1.8,1.925,0.3125,0.2875,0.0375
0,fixed,common_field,Joss (0.9),3000010000626,1.8625,1.8,0.275,0.2875,0.0125
0,fixed,common_field,Joss (0.9),3000010000628,1.825,1.7,0.25,0.275,0.025
0,fixed,common_field,Joss (0.9),3000010000630,1.8625,1.8625,0.3,0.3,0.0375
0,fixed,common_field,Joss (0.9),3000010000632,1.725,2.0375,0.3375,0.275,0.0375
0,fixed,common_field,Joss (0.9),3000010000634,1.8875,1.7,0.2625,0.3,0.05
0,fixed,common_field,Joss (0.9),3000010000636,1.7375,1.8625,0.2875,0.2625,0.025
0,fixed,common_field,Joss (0.9),3000010000638,1.8,1.8,0.275,0.275,0.025
0,fixed,common_field,Random (0.5),3000010000800,2.575,1.325,0.225,0.475,0.1
0,fixed,common_field,Random (0.5),3000010000802,2.3875,1.5125,0.2625,0.4375,0.1
0,fixed,common_field,Random (0.5),3000010000804,2.5375,1.35,0.2375,0.475,0.125
0,fixed,common_field,Random (0.5),3000010000806,2.1,1.725,0.3125,0.3875,0.1375
0,fixed,common_field,Random (0.5),3000010000808,2.8,1.2375,0.2125,0.525,0.0875
0,fixed,common_field,Random (0.5),3000010000810,2.5125,1.3875,0.2375,0.4625,0.1
0,fixed,common_field,Random (0.5),3000010000812,2.625,1.3125,0.225,0.4875,0.1
0,fixed,common_field,Random (0.5),3000010000814,2.8875,1.1375,0.2,0.55,0.1125
0,fixed,common_field,Random (0.5),3000010000816,2.6375,1.3875,0.2375,0.4875,0.075
0,fixed,common_field,Random (0.5),3000010000818,2.7875,1.1625,0.1875,0.5125,0.075
0,fixed,common_field,Random (0.5),3000010000820,2.475,1.2875,0.2,0.4375,0.075
0,fixed,common_field,Random (0.5),3000010000822,2.45,1.575,0.2875,0.4625,0.1125
0,fixed,common_field,Random (0.5),3000010000824,2.6375,1.2,0.1875,0.475,0.075
0,fixed,common_field,Random (0.5),3000010000826,2.8375,1.275,0.25,0.5625,0.1625
0,fixed,common_field,Random (0.5),3000010000828,2.8625,1.2375,0.2375,0.5625,0.15
0,fixed,common_field,Random (0.5),3000010000830,2.7,1.1375,0.175,0.4875,0.075
0,fixed,common_field,Random (0.5),3000010000832,2.6875,1.3125,0.25,0.525,0.1625
0,fixed,common_field,Random (0.5),3000010000834,1.9875,1.675,0.275,0.3375,0.0875
0,fixed,common_field,Random (0.5),3000010000836,2.6,1.5375,0.2875,0.5,0.1125
0,fixed,common_field,Random (0.5),3000010000838,2.675,1.3,0.2125,0.4875,0.0625
0,fixed,common_field,Tester,3000010001000,1.9375,1.8125,0.2875,0.3125,0.025
0,fixed,common_field,Tester,3000010001002,1.9375,1.6875,0.2625,0.3125,0.05
0,fixed,common_field,Tester,3000010001004,1.925,1.8,0.2875,0.3125,0.0375
0,fixed,common_field,Tester,3000010001006,1.8,1.8,0.275,0.275,0.025
0,fixed,common_field,Tester,3000010001008,1.825,1.8875,0.3,0.2875,0.025
0,fixed,common_field,Tester,3000010001010,2.025,1.775,0.3,0.35,0.075
0,fixed,common_field,Tester,3000010001012,1.8125,1.875,0.3,0.2875,0.0375
0,fixed,common_field,Tester,3000010001014,1.9,1.775,0.275,0.3,0.025
0,fixed,common_field,Tester,3000010001016,2.0875,1.775,0.3,0.3625,0.0625
0,fixed,common_field,Tester,3000010001018,1.825,1.6375,0.225,0.2625,0.0
0,fixed,common_field,Tester,3000010001020,2.1375,1.7,0.2625,0.35,0.0
0,fixed,common_field,Tester,3000010001022,2.025,1.7125,0.2875,0.35,0.0875
0,fixed,common_field,Tester,3000010001024,2.0,1.75,0.2875,0.3375,0.0625
0,fixed,common_field,Tester,3000010001026,1.8875,1.7625,0.2625,0.2875,0.0
0,fixed,common_field,Tester,3000010001028,0.8625,2.3,0.35,0.0625,0.0375
0,fixed,common_field,Tester,3000010001030,1.8375,1.8375,0.2875,0.2875,0.025
0,fixed,common_field,Tester,3000010001032,1.925,1.8625,0.3125,0.325,0.0625
0,fixed,common_field,Tester,3000010001034,1.825,1.95,0.325,0.3,0.05
0,fixed,common_field,Tester,3000010001036,1.7625,1.6375,0.2375,0.2625,0.05
0,fixed,common_field,Tester,3000010001038,1.9375,1.75,0.275,0.3125,0.0375
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001200,3.0125,1.075,0.225,0.6125,0.2125
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001202,2.875,1.25,0.2625,0.5875,0.2125
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001204,3.125,0.8125,0.1375,0.6,0.1375
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001206,2.875,1.1875,0.2375,0.575,0.1875
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001208,3.0625,1.0625,0.225,0.625,0.2125
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001210,2.875,1.25,0.275,0.6,0.25
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001212,2.525,1.4625,0.275,0.4875,0.15
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001214,2.875,1.1875,0.2375,0.575,0.1875
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001216,2.975,0.975,0.1875,0.5875,0.1875
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001218,2.85,1.1,0.2125,0.5625,0.1875
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001220,2.9625,1.025,0.2,0.5875,0.1875
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001222,2.775,1.15,0.2125,0.5375,0.1625
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001224,2.825,1.325,0.2875,0.5875,0.2375
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001226,2.975,1.1,0.2375,0.6125,0.2375
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001228,2.8,1.3,0.2625,0.5625,0.1875
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001230,3.0,1.125,0.2375,0.6125,0.2125
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001232,3.025,1.0875,0.225,0.6125,0.2
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001234,2.725,1.225,0.2375,0.5375,0.1875
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001236,2.875,1.25,0.2625,0.5875,0.2125
0,fixed,common_field,Pavlov (Win-Stay Lose-Shift),3000010001238,2.8625,1.2375,0.2625,0.5875,0.225
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000000,1.5125,1.95,0.3375,0.25,0.15
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000002,1.4875,1.9875,0.3375,0.2375,0.125
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000004,1.6625,1.85,0.3125,0.275,0.125
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000006,1.7625,1.7,0.2875,0.3,0.15
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000008,1.625,1.875,0.325,0.275,0.15
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000010,1.3,2.05,0.3375,0.1875,0.1125
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000012,1.725,1.6625,0.2625,0.275,0.1125
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000014,1.8125,1.875,0.3375,0.325,0.15
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000016,1.9875,1.675,0.3125,0.375,0.2
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000018,1.9625,1.5875,0.2375,0.3125,0.05
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000020,1.8625,1.6125,0.2625,0.3125,0.125
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000022,1.775,1.775,0.3,0.3,0.125
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000024,1.825,1.575,0.25,0.3,0.125
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000026,1.6125,1.7375,0.275,0.25,0.1125
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000028,1.75,1.75,0.2875,0.2875,0.1125
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000030,1.7375,1.925,0.3625,0.325,0.2
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000032,1.85,1.5375,0.25,0.3125,0.15
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000034,1.6125,1.925,0.3625,0.3,0.225
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000036,1.725,1.9125,0.325,0.2875,0.1
0,fixed,self,"Memory-1(0.6947327537604999, 0.0, 0.0, 0.0, 0.5069399824917646)",3000020000038,1.875,1.625,0.275,0.325,0.15
0,fixed,ALLC,Memory-1(ALLC),3000030000000,4.625,0.4375,0.1375,0.975,0.1375
0,fixed,ALLC,Memory-1(ALLC),3000030000002,4.525,0.4,0.1125,0.9375,0.1125
0,fixed,ALLC,Memory-1(ALLC),3000030000004,4.6,0.4125,0.125,0.9625,0.125
0,fixed,ALLC,Memory-1(ALLC),3000030000006,4.8,0.2375,0.075,0.9875,0.075
0,fixed,ALLC,Memory-1(ALLC),3000030000008,4.4625,0.4,0.1,0.9125,0.0875
0,fixed,ALLC,Memory-1(ALLC),3000030000010,4.3875,0.575,0.1625,0.925,0.15
0,fixed,ALLC,Memory-1(ALLC),3000030000012,4.6625,0.2875,0.075,0.95,0.0625
0,fixed,ALLC,Memory-1(ALLC),3000030000014,4.775,0.275,0.0875,0.9875,0.0875
0,fixed,ALLC,Memory-1(ALLC),3000030000016,4.525,0.3375,0.0875,0.925,0.0875
0,fixed,ALLC,Memory-1(ALLC),3000030000018,4.7,0.2,0.05,0.95,0.05
0,fixed,ALLC,Memory-1(ALLC),3000030000020,4.65,0.2125,0.05,0.9375,0.05
0,fixed,ALLC,Memory-1(ALLC),3000030000022,4.675,0.3,0.0875,0.9625,0.0875
0,fixed,ALLC,Memory-1(ALLC),3000030000024,4.6,0.35,0.1,0.95,0.1
0,fixed,ALLC,Memory-1(ALLC),3000030000026,4.6375,0.3875,0.1125,0.9625,0.1
0,fixed,ALLC,Memory-1(ALLC),3000030000028,4.2875,0.475,0.1125,0.875,0.1
0,fixed,ALLC,Memory-1(ALLC),3000030000030,4.675,0.2375,0.0625,0.95,0.0625
0,fixed,ALLC,Memory-1(ALLC),3000030000032,4.725,0.2875,0.0875,0.975,0.0875
0,fixed,ALLC,Memory-1(ALLC),3000030000034,4.625,0.3125,0.0875,0.95,0.0875
0,fixed,ALLC,Memory-1(ALLC),3000030000036,4.475,0.4125,0.1125,0.925,0.1125
0,fixed,ALLC,Memory-1(ALLC),3000030000038,4.55,0.3,0.075,0.925,0.075
0,mixed,common_field,Tit For Tat,3000010000000,1.7,1.325,0.1375,0.2125,0.0125
0,mixed,common_field,Tit For Tat,3000010000002,1.4375,1.125,0.0625,0.125,0.0
0,mixed,common_field,Tit For Tat,3000010000004,1.575,1.2625,0.125,0.1875,0.05
0,mixed,common_field,Tit For Tat,3000010000006,1.3625,1.175,0.075,0.1125,0.0125
