seed,delta_population_cooperation,delta_population_mutual_cooperation,delta_population_payoff,delta_champion_field_payoff,delta_champion_self_cooperation,delta_champion_allc_payoff,delta_champion_allc_cooperation,delta_p0,delta_pCC,delta_pCD,delta_pDC,delta_pDD
0,-0.24424013157894736,-0.15833223684210526,-0.574388157894737,-0.07098214285714288,-0.20875,0.03125000000000089,-0.015,-0.5247227414856824,0.24538218491870473,0.04551000835138352,0.0,-0.4519682758809722
1,-0.3658157894736842,-0.25379605263157895,-0.8436513157894734,-0.04205357142857147,-0.36,0.5512500000000005,-0.28312499999999996,-0.5407218279790402,0.113664573389793,-0.013054061674707107,-0.4621087816049991,-0.7678479542765813
2,-0.30017927631578945,-0.20678289473684208,-0.6937549342105263,-0.07616071428571436,-0.29875,0.04500000000000082,-0.022499999999999992,0.09446458652224043,0.1092545365413094,-0.21430302610985724,0.0,-0.645636291791432
3,-0.24094572368421052,-0.22768092105263155,-0.4951562500000002,0.03767857142857145,-0.2425,0.38312500000000016,-0.19749999999999995,0.07225019616775058,0.0,0.013070612827656647,-0.11736225340615392,-0.24780718905437504
4,-0.21264638157894739,-0.12787828947368424,-0.5100608552631578,-0.070267857142857,-0.254375,0.10562499999999986,-0.05249999999999999,0.2774950280132037,0.4081580053096935,0.05186770642316954,-0.07756997426405474,-0.6180127465462582
